title,volume,year,floor,row,section,notes
Kybernetik,v1-16,1961-1974,5th Floor,Row N,5,
Kyobu Geka (Japanese Journal of Thoracic Surgery),v3-7;16;19,1950-1966,5th Floor,Row N,5,
Kyoto Igaku Zasshi,Vol.13-14,,2nd Floor,Row U,,
Kyoto Ikadaigaku-Zasshi,Vol.1-32,1933,2nd Floor,Row U,,
Kyron; Revista de Medicina y Literatura,,1963-89,2nd Floor,Row U,,
Kyungpook University Medical Journal,v4-30,1963-1988,5th Floor,Row N,5,
Kyushu Journal of Medical Science,v6-15,1955-1964,5th Floor,Row N,5,
Kyushu Ketsueki Kenkyu Dokokaishi,v7-23,1957-1973,5th Floor,Row N,5,
Kyushu Memoirs of Medical Science,v1-5,1950-1955,5th Floor,Row N,5,
L' Art Medical Journal de Medecine Pratique,Liv-Lxxx1,2000,3rd Floor,Row K,,
L.A. Physician,v130,2000,5th Floor,Row N,5,
L.F.V.Stentor,,1948-49,2nd Floor,Row U,,
La Italia Medica,,,1st Floor,Row K,,
La Jeune Mere,Vol.1-32,,2nd Floor,Row L,,
La Medication Martiale,Vol.13-28,,2nd Floor,North Wall,,
La Medicina Argentina,Vol.6-12,,2nd Floor,North Wall,,
La Medicina Ibera (Madrid),Vol.2-30,,2nd Floor,North Wall,,
La Medicine Contemporaine,Vol.27-35,"1921-23, 1934, 1937, 1947",2nd Floor,North Wall,,
"La Nature, Paris",,1915-1938,1st Floor,Row E,,
La Nipiologia,,1845,1st Floor,Row G,,
La Observateur Homeopathe,,1821-1825,1st Floor,Row H,,
La Observateur Provecal des Sciences Medicales,,1899-1904,1st Floor,Row H,,
La Parole Reviue Intenationale de Rhynologie Otologie and Laryngologie,,"1902, 1907, 1909, 1911",1st Floor,Row K,,
La Practique Journalire,,"1922, 1925-1938",1st Floor,Row M,,
La Pratique Medical Francaise,,1923-1933,1st Floor,Row M,,
La Pressa Dentaire,,1902-1914,1st Floor,Row M,,
La Pressa Otolaringologique Belge,,1920,1st Floor,Row N,,
La Pressa Thermale et Climatique,,1893-1901,1st Floor,Row N,,
La Puglia Medica,,1901-1914,1st Floor,Row P,,
La Reforme Alementaire,,1894-1899,1st Floor,Row Q,,
La Ressegna Ostetricia e Ginecologia,,1917-1919,1st Floor,North Wall,,
La Restauration Maxillo-Faciale,,1959,1st Floor,Row Q,,
La Revue de L'Alcoolisme,v5,1961-76,4th Floor,Row H,,
La Revue de Medecine,v2-17 ,1965-76,4th Floor,Row H,,
La Revue de Pediatrie,v1-12,"1952, 1953, 1961",4th Floor,Row I,,
La Revue Lyonnaise de Medecine,,1897-1904,4th Floor,Row H,,
La Revue Medicale,,1950,1st Floor,Row U,,
La Revue Odontologique,v72,1928-1939,4th Floor,Row I,,
La RevueMedicale & Scientifiques,,1948-67,1st Floor,North Wall,,
la Sante de L'homme,no.46-148,1925-1928,4th Floor,Row J,,
La Studo por la Scienco de Laboro,,"1925-1926,1931-1933,1938-1946",Compact Shelving,Range 4 Side B,,
La Tribuna Odontologica. (Buenos Aires),,1921-1925,Compact Shelving,Range 6,,
La Tribune Medica. (Santiago),,1923,Compact Shelving,Range 6,,
La Tribune Medica. (Santo Domingo)),,"1867-1869,1871-1874,1876",Compact Shelving,Range 6,,
La Tribune Medical.(Paris),,"1911-1912,1921-1933",Compact Shelving,Range 6,,
La Tribune Medicale,,1904-1913,Compact Shelving,Range 6,,
La Tribune Medicale (American Edition),,"1898-1899, 1901, 1903-1906",Compact Shelving,Range 6,,
La Tuberculose Infantile,,"1895, 1909-1941",Compact Shelving,Range 6,,
la Tuberculosi (Milan),,"1920-1921, 1926-1927, 1929-1940, 1947-1949",Compact Shelving,Range 6,,
La Vie Medicale,,1903-1906,Compact Shelving,Range 7A,,
La Vie Normale,,1923-1933,Compact Shelving,Range 7A,,
La Vie Saine,,1883-1892,Compact Shelving,Range 7A,,
La Voz de Hipocrates,,1879,Compact Shelving,Range 7B,,
L'Abeille Medicale,v1 ,1844-1896,4th Floor,Row U,,
L'Abeille Medicale,v1-53,1893-94,4th Floor,Row U,,
L'Abeille Medicale,v2-3,1892;1895,4th Floor,Row U,,
L'Abeille Medicale,,,4th Floor,Row U,,
Labor and Industry,Vol.1-2/13-19,1917-1919,2nd Floor,Row U,,
Labor Laws in Reconstruction,,1963-67,2nd Floor,Row U,,
Labor Rehabilitation,v1-5,1963-1967,5th Floor,Row N,5,
Labor Standards,,1955-63,2nd Floor,Row U,,
Laboratoire (Paris),Vol.4,,2nd Floor,Row U,,
Laboratoire et le Progres Dentaire Reunis Marseille,Vol.5,1958,2nd Floor,Row U,,
Laboratorio,v3,1958,5th Floor,Row N,5,
Laboratorio (Barcelona),Vol.1-2/5/7-15,1921/1924-1947,2nd Floor,Row U,,
Laboratorio Clinico,,1950-86,2nd Floor,Row U,,
Laboratorio Granada,v9-81,1950-1986,5th Floor,Row N,5,
Laboratorio Habana,v 3,1953,5th Floor,Row N,6,
Laboratorio Medicina Cirurgia (Barcelona),,1946-1949,2nd Floor,Row U,,
Laboratorio(Granada),,1900,2nd Floor,Row U,,
Laboratormum et Museum et Clinicum,,,2nd Floor,Row U,,
Laboratornaya Praktika Moskva,Vol.11,,2nd Floor,Row U,,
Laboratornoe Delo,v6-9,1955-1963,5th Floor,Row N,6,
Laboratory . Fisher Scientific Company,Vol.1-18,,2nd Floor,Row U,,
Laboratory and Clinical Studies,Vol.18-27,,2nd Floor,Row U,,
Laboratory and Medical Progress,Vol.1,1911-1935,2nd Floor,Row U,,
Laboratory and Pathological Chemistry,,,2nd Floor,Row U,,
Laboratory Digest,v12-38,1948-1975,5th Floor,Row N,6,
Laboratory Digest,Vol.6-11,1948-75,2nd Floor,Row U,,
Laboratory Fisher-Scientific Company,v19-38,1949,5th Floor,Row N,6,
Laboratory Investigtion,v1-78,1952-1998,5th Floor,Row N,6,
Laboratory Medicine,Vol.1,,2nd Floor,Row U,,
Laboratory News,Vol.26-27,,2nd Floor,Row U,,
Laboratory Review,Vol.1,,2nd Floor,Row U,,
Laboratory Studies . State Agricultural College,Vol.1,,2nd Floor,Row U,,
Laboratory Studies from Memorial Hospital (N.Y. City),Vol.5-17,1928-1942,2nd Floor,Row U,,
Laboratory Technician. Association of Laboratory Technicians,,,2nd Floor,Row U,,
Laboratory. A Monthly Journal of Progress of Chemistry,Vol.1,1978-99,2nd Floor,Row U,,
LACMA Physician,v108-129,1978-1999,5th Floor,Row N,7,
L'Action Medicale,v2-25,1964,4th Floor,Row V,,
Ladder (The),v8(no.7;12),1964,5th Floor,Row N,7,
Lady's Annual Register,,1960-79,2nd Floor,Row U,,
Laeknabladid,v41-64,1957-1978,5th Floor,Row N,8,
Laeknabladid Laeknafelag Reykjarikur,Vol.28,1898,2nd Floor,Row U,,
Lafayette Medical Journal,,1922,2nd Floor,Row U,,
L'Afficio Municipale del Lavoro,,,Compact Shelving,Range 6,,
Lahey Clinic Bulletin,v5-12,1946-1962,5th Floor,Row N,8,
Lahey Clinic Bulletin,Vol.1-4,1946-62,2nd Floor,Row U,,
Lahey Clinic Foundation Bulletin,v13-32,1963-1983,5th Floor,Row N,8,
Lahore King Edward Medical College Magazine,,1921-1949,2nd Floor,Row U,,
Lait,v30-54,1950-1974,5th Floor,Row N,8,
Lait,,1950-74,2nd Floor,Row U,,
Lakartidningen,v62-88,1965-1991,5th Floor,Row N,7,
Lake County Medical News,v10-18,1949-1956,5th Floor,Row N,8,
Lake County Medical News,,1948-56,2nd Floor,Row U,,
Lake Placid Conference on Home Economics,Vol.1-7,1951/55,2nd Floor,Row U,,
Lakeside Lecture Series,v1-5,1951-1955,5th Floor,Row N,8,
LaLancette Belge,,1977-2010,2nd Floor,Row U,,
Lancet,v1-1,1950-1976,5th Floor,Row N,8,
Lancet,up to v. 376,1823-1949,1st Floor,Raw L,,
Lancet,,,2nd Floor,Row U,,
Lancet,Vol.1-8/NS1-16,,2nd Floor,Row U,,
Lancet,Vol.2-3,,2nd Floor,Row U,,
Lancet,Vol.1-3,1950-76,2nd Floor,Row U,,
Lancet,v1-370,1977-2007,5th Floor,Row N,8,
Lancet-Clinic,,,2nd Floor,Row U,,
Land (Balt.),Vol.6,1964-68,2nd Floor,Row U,,
Landarzt,v40-44,1964-1968,5th Floor,Row N,8,
Langenbeck's Archiv Fur Chirurgie,v324-376,1969-1991,5th Floor,Row N,8,
Langenbeck's Archiv Fur Chirurgie Suppl.,suppls,1972-1991,5th Floor,Row N,9,
Langenbeck's Archiv Fur Klinische Chirurgie,v262-323,1949-1969,5th Floor,Row N,9,
Langsdales Lancet,Vol.1-3,1897-1898,2nd Floor,Row U,,
Languedoc Medico-Chirurgical,,1960-67,2nd Floor,Row U,,
Lankenau,v7-14,1960-1962,5th Floor,Row N,9,
"L'Annee Biologique, 3 Serie",15-24,,3rd Floor,Row C,,
Lantern,v20-46,1920-1976,5th Floor,Row N,9,
Lantern,Vol.5/9,v50-76,2nd Floor,Row U,,
L'Antivivisection,,,3rd Floor,Row C,,
Lar do Medico,Vol.4,1981-86,2nd Floor,Row U,,
LARC Medical,v1-6,1981-1986,5th Floor,Row N,9,
L'Argus Medical,,1900-1912,3rd Floor,Row J,,
L'Art Medical,90-115,1974-91,3rd Floor,Row K,,
"Laryngologie, Rhinologie, Otologie",v 54-68,1975-1989,5th Floor,Row N,10,
Laryngoscope,v60-76,1950-1966,5th Floor,Row N,9,
Laryngoscope,v77-105,1967-1995,5th Floor,Row O,1,
Laryngoscope,,1950-1995,2nd Floor,Row U,,
Laryngoscope. Marseilles (Paris),Vol.1,,2nd Floor,Row U,,
"Larynx, L Oreille et le Nez",Vol.2-7,1971-89,2nd Floor,Row U,,
Laser Applications in Medicine and Biology,v1-4,1971-1989,5th Floor,Row O,1,
Lasers in Surgery & Medicine,v1-28,1980-2001,5th Floor,Row O,1,
Lasers in the Life Sciences,v1-5,1986-1993,5th Floor,Row O,1,
L'Ateneo Parmense. Acta Bio-Medica,36-51,1953-62,CPR,,,
Lattante,v24-33,1953-1962,5th Floor,Row O,1,
Lattante (Parma),,1929-1939,2nd Floor,Row U,,
Latvijas Arstu Zurnals,,,2nd Floor,Row U,,
Latvijas Biologijas Biedribas Raksti,Vol.1-4/7,1929-1933,2nd Floor,Row U,,
Latvijas Drogists,,,2nd Floor,Row U,,
Latvijas Farmaceitu Zurnals,Vol.7-18,,2nd Floor,Row U,,
"Latvijas Universitates Raksti, Acta Universitatid Latviensis",Vol.16,,2nd Floor,Row U,,
"Latvijas Universitates Raksti, Medicinas Fakultates Serija",Vol.1-2,,2nd Floor,Row U,,
Latvijas Universitates Raksti. Veterinarmedicinas Fakultates Serija,Vol.1,,2nd Floor,Row U,,
Latvijas Universitates Salidzinosas Anatomija un Eksperimentalas Zoologijas Inst.,Vol.29-32,1936-1949,2nd Floor,Row U,,
Laval Medical,,1950-71,2nd Floor,Row U,,
Laval Medical,v15-42,1950-1971,5th Floor,Row O,1,
Lavon della Clinica Medica,Vol.2,,2nd Floor,Row U,,
Lavori Dei Congressi Di Medicina Interna,v51,1950,5th Floor,Row O,2,
Lavori dei Congressi di Medicina Interna,Vol.1-3/6-14/16/19-20/22-24/28-50,1950,2nd Floor,Row U,,
Lavori del Laboratorio di Fisiologia,,,2nd Floor,Row U,,
Lavori dell Instituto di AnatomiA Istologia Patologica Ospedale Civiledi Udine,Vol.2,,2nd Floor,Row U,,
Lavori dell Istituto di Anatomia e Istologia Pathologica della Universita,Vol.3-8,1950-51,2nd Floor,Row U,,
Lavori Dell' Istituto di anatomia eistologia patologiia,v9-11,1950-1951,5th Floor,Row O,2,
Lavori Dell' Istituto di anatomia eistologia patologiia Della universita degli studidi Perugia,v12-38,1952-1978,5th Floor,Row O,2,
Lavori dell Istituto di Biotipologico-Ortogenetico di Genova,Vol.1-2,,2nd Floor,Row U,,
Lavori della Clinica Oculistica della Universita di Napoli,Vol.2-3/4N4/5,1955-58,2nd Floor,Row U,,
Lavori Della Clinica Pediatrica dell Universita-di Roma,v21-23,1955-1958,5th Floor,Row O,2,
Lavori e Riviste di Clinica e Microscropia Clinica,Vol.1,,2nd Floor,Row U,,
Lavori Eseguiti Nell Istituto Fisiologico di Napoli,Vol.2,,2nd Floor,Row U,,
Lavori Sperimentali Istituto di Fisiologia della R. Univ. di Paria,Vol.1,1911-1923,2nd Floor,Row U,,
Lavoro,,,2nd Floor,Row U,,
Lavoro,Vol.15,,2nd Floor,Row U,,
Lavoro Neuropsichiatrico,Vol.18,1955-80,2nd Floor,Row U,,
Lavoro Neuropsuchiatrico,v16-66,1955-1980,5th Floor,Row O,2,
Law and Contemporary Problems,v61-63/vol 66-71,1998-2000/2003-2008,5th Floor,Row O,2,*cart in front of Row Q
"Law, Medicine, & Health Care",v9-20,1981-1992,5th Floor,Row O,2,
Lawrence County Medical Society Bulletin,v25-42,1950-1967,5th Floor,Row O,2,
Lawrence County Medical Society Bulletin,v43,1949-1950,5th Floor,Row O,2,
Lawrence County Medical Society Official Monthly Bulletin,Vol.25-42,,2nd Floor,Row U,,
Laws of Life,Vol.9/12/17/21-36,1947-71,2nd Floor,Row U,,
Layman Speaks,v1-24,1947-1971,5th Floor,Row O,2,
Lazenska A Sportovni Priloha,Vol.1-3,,2nd Floor,Row U,,
Lazo Blanco (Montevidio),Vol.25,,2nd Floor,Row U,,
Le Bonne  Cuisine  Pour Tous,1,1834,3rd Floor,Row N,,
Le Censeur Medical,,1867-1868,3rd Floor,Row T,,
Le Evenement Medical,,"1903, 1908-1910, 1912-1913",1st Floor,"Row K, bank 7",,
Le Medecin,,1902,1st Floor,"Row K, bank 7",,
Le Medecine,,,1st Floor,"Row K, bank 7",,
Le Medecine (Bruxelles),Vol.6/8-11,"1891-1900, 1913-14",2nd Floor,Row W,,
le mouvement hygienique,,"1870-1880, 1905",1st Floor,Row D,,
Le Mouvement Medical,,1913,1st Floor,Row D,,
Le Mouvement Medical; Reviue Mensuelle ….,,1924-40,1st Floor,Row D,,
Le Mouvement Sanitaire,,1900-1913,1st Floor,Row D,,
Le Nevraxe,,1913-1949,1st Floor,Row F,,
Le Nourrisson,,1896,1st Floor,Row H,,
Le Pot Au Feu,,1904-1914,1st Floor,Row M,,
Le Radium,,1901-1913,1st Floor,Row Q,,
Le Revue Medicale,,1951-57,1st Floor,Row U,,
Le Rhumatisme Etudes Cliniques et Therapeutiques,,1950-71,4th Floor,Row I,,
Le Scalpel,v103-124,,4th Floor,Row J,,
Le Scalpel,,1933,Compact Shelving,Range 3 Side A,,
Le souffle bulletin du syndicat des medecins de la Haute-Savoie,,1857-1858,Compact Shelving,Range 4 Side A,,
Le Union Medica,,1925/1929,Compact Shelving,Range 6,,
Leadership in Health Services,v1-5,1992-1996,5th Floor,Row O,2,
League of Natives News,,,2nd Floor,Row U,,
League of Red Cross Societies Information Circular,Vol.1-2,,2nd Floor,Row U,,
League of Red Cross Societies Monthly Bulletin,Vol.14-27,,2nd Floor,Row U,,
"League of Red Cross Societies, Information Bulletin",Vol.4-9,1965-68,2nd Floor,Row U,,
Learning Disorder,v1-3,1965-1968,5th Floor,Row O,2,
Leavenworth Medical Herald,Vol.1-4,1950-52,2nd Floor,Row U,,
Lebensmitteltierahzt,v1-3,1950-1952,5th Floor,Row O,2,
Lebensreform Freiburg,,1972-91,2nd Floor,Row U,,
"Leber, Magen, Darm",v2-21,1972-1991,5th Floor,Row O,2,
Lecons du Jeudi Soir a la Clinique Tarnier,Vol.1-14,1957-61,2nd Floor,Row U,,
Lector Medicvs,N/A,1957-1961,5th Floor,Row O,3,
Lecturas Amenas Para los Doctores… Puebla (Mexico),,,2nd Floor,Row U,,
"Lecturer (Dansville,NY)",Vol.4,1962-63,2nd Floor,Row U,,
Lectures and Discussions of the Forest Hosp,v2,1962-1963,5th Floor,Row O,3,
Lectures Clinicis and Discussions on Electro-Physiotherapy,,1960-67,2nd Floor,Row U,,
Lectures in Aerospace medicine,v1-5,1960-1967,5th Floor,Row O,3,
Lectures on the Scientific Basis of Medicine,v1-8,1951-1959,5th Floor,Row O,3,
Lederle Bulletin,v15-21,1950-1956,5th Floor,Row O,3,
Lederle Bulletin,Vol.13-,1950-56,2nd Floor,Row U,,
Lederle Bulletin Symposium Report,v1-3,1957-1959,5th Floor,Row O,3,
Lee Foundation for Nutrional Research,Vol.1-6,1966-68;75,2nd Floor,Row U,,
Leech (the) Cardiff,v22-44,1951-1974,5th Floor,Row O,3,
Leech(Cardiff),,1933-1946/1949/1951-1952,2nd Floor,Row U,,
Leech(Johannesburg),,1958-74,2nd Floor,Row U,,
Leeds Correspondent,"Vol.4/5N1,3",1947,2nd Floor,Row U,,
Leeward Islands Medical and Sanitary,,1927/1931,2nd Floor,Row U,,
Lega Italiana per la Lotta Contro il Cancro,,1980-90,2nd Floor,Row U,,
Legal Medicine Annual,annual,1969-1990,5th Floor,Row O,3,
Legislative Bulletin,v1-4,1974-1978,5th Floor,Row O,3,
Legislative Bulletin,v4-15,1960-1971,5th Floor,Row O,3,
Legislative Inventory,v16-17,1971-1973,5th Floor,Row O,3,
Legislative Reporter,v11-13,1960-1962,5th Floor,Row O,3,
Lehigh Valley Medical Bulletin,,,2nd Floor,Row U,,
Lehigh Valley Medical Magazine,Vol.1-12,1929-1931,2nd Floor,Row U,,
LEIB,,1930-1932,AR,"Wall, Row III",,
Leibesuebungen,,1933-1939/1941-9143,2nd Floor,Row U,,
Leibesuebungen und Koerperliche Erzirnung,,1951,2nd Floor,Row U,,
Leibsukungen Sportarzt,"v2 , v16-17",1950; 1971; 1977,5th Floor,Row O,3,
Leipziger Medizinische Monatsschrift,,1887-1930,2nd Floor,Row U,,
Leipziger Populaere Zeitschrift fuer Homoeopathie,,1938,2nd Floor,Row U,,
Lekarska Revue,,,2nd Floor,Row U,,
Lekarske Listy,v5-9,1950-1954,5th Floor,Row O,3,
Lekarske Listy,Vol.1-4,1950-54,2nd Floor,Row U,,
Lekarske Prace,v1-22,1961-1985,5th Floor,Row O,3,
Lekarz Polski,Vol.5,1933,2nd Floor,Row U,,
Lekarz Tyfoetariski,,,2nd Floor,Row U,,
Lekarz Wojskowy,Vol.1-36/37N1-3,,2nd Floor,Row U,,
Leland Stanford Junior University Publications University Series,Vol.1-43,,2nd Floor,Row U,,
Leland Stanford Junior University Publications. Physical Research Monograph,Vol.1,1925-1936,2nd Floor,Row U,,
Leningradskiyi Gosudarstvennyy Travmatol Ist.,,1916-1918,2nd Floor,Row U,,
Lennox,,,2nd Floor,Row U,,
Leonard's Illustrated Medical Journal,Vol.1-22/24,,2nd Floor,Row U,,
Leopoldina,Vol.2-6,,2nd Floor,Row U,,
Leper News,Vol.15-35,,2nd Floor,Row U,,
Leper Quarterly,Vol.12-14,,2nd Floor,Row U,,
Lepra,Vol.1-15,,2nd Floor,Row U,,
Lepra (Caracas),Vol.1-2,1956,2nd Floor,Row U,,
Leprologia,v1,1956,5th Floor,Row O,3,
Leprosy Briefs,v2-13,1951-1962,5th Floor,Row O,3,
Leprosy Digest,Vol.1,,2nd Floor,Row U,,
Leprosy in India,v21-26/29-41/50-55,1970-1976,5th Floor,Row W,5,Bound Journals moved from floor
Leprosy in India,Vol.1-17/20,1949-1983,5th Floor,Row O,3,
Leprosy in India,v42-v49(inc),,2nd Floor,Row U,,
Leprosy Missions Digest,v1-11,1948-1958,5th Floor,Row O,3,
Leprosy Notes,Vol.1-7,,2nd Floor,Row U,,
Leprosy Review,v21-71,1950-2000,5th Floor,Row O,3,
Leprosy Review,Vol.1-20,1950-2000,2nd Floor,Row U,,
Les Neoplasmes,,1885-1914,1st Floor,Row F,,
Les Nouveaux Renedes,,,1st Floor,Row H,,
Les sciences medicales,,,Compact Shelving,Range 3 Side B,,
Letopis Russkoi Khirurgii,Vol.1-2/6,1950-52,2nd Floor,Row U,,
Letter to Members of American Public Welfare Association,N/A,1950-1952,5th Floor,Row O,3,
Letters of the International Correspondence Club of Allergy,,1950-70,2nd Floor,Row U,,
Letters of the International Correspondence Society of Allergists,v13-33,1950-1970,5th Floor,Row O,3,
"Letters to Members, American Public Welfare Association",,,2nd Floor,Row U,,
Lettura Oftalmologica,Vol.1-16,,2nd Floor,Row U,,
Leucocyte,Vol.1-2/6-26/28,,2nd Floor,Row U,,
Leucodescent Bulletin,Vol.1-3,1998-2003,2nd Floor,Row U,,
Leukemia,v1-12,1987-1998,5th Floor,Row O,3,
Leukemia,,1987-98,AR,SHELF RANGE 6 - Side A,,
Leukemia Research,,1977-96,AR,SHELF RANGE 6 - Side A,,
Leukemia Research,v1-20,1977-1996,5th Floor,Row O,3,
Levi Memorial Messenger,Vol.1,1922,2nd Floor,Row U,,
L'Evolution medico-Chirurgicale,,1950-73,2nd Floor,Row U,,
L'Hygiene Mentale,39-62,1951-52,CPR,,,
L'HYgiene par L'exemple Paris,27-28,,CPR,,,
Libelli A Collegia Manjurico Medicinae,Vol.5,,2nd Floor,Row U,,
Librard de la Tokia Laboratorio Neurobiologia,Vol.1,1929,2nd Floor,Row U,,
Library Association Record (London),,,2nd Floor,Row U,,
Library Conservation News,Vol.1-55,1945,2nd Floor,Row U,,
Library Newsletter(St. Louis University School of Medicine),,,2nd Floor,Row V,,
Library Notes,Vol.1-3,,2nd Floor,Row V,,
Library of Health,Vol.1/3,,2nd Floor,Row U,,
Library of Health and Teacher on the Human Constitution,Vol.3-5,,2nd Floor,Row U,,
Library of Homoepathic Classics,Vol.1 inc.,,2nd Floor,Row U,,
Library of Medical Classics,Vol.1-10,1831-1861,2nd Floor,Row V,,
Library of Practical Medicine,,1957-60,2nd Floor,Row V,,
Library Quarterly of the Denver Medical Society,v1-4,1957-1960,5th Floor,Row O,4,
Library Record,,1959-64,2nd Floor,Row V,,
Licentiate,v4-19,1954-1969,5th Floor,Row O,4,some missing
Lich Chronicle,,,2nd Floor,Row V,,
Lieberator,Vol.9-10,"1920,1925,1928,1934-1940",2nd Floor,Row U,,
Liege Medical,,1957-64,2nd Floor,Row V,,
Lietuvos TRS Mokslu Akademii Darbai Serija B:,N/A,1957-1964,5th Floor,Row O,4,
Lietuvos TSR Mokslu Akademijos Biologijos Instituto Darbai,,1951-72,2nd Floor,Row V,,
Life & Health,v65-67; v72,1950-52/1957,5th Floor,Row O,4,
Life and Health,"1N3/3N2,6-7","1908,1910-1914,1922,1933-1949",2nd Floor,Row V,,
Life and Health,,1911-1912,2nd Floor,Row V,,
Life and Labor,,1970-75,2nd Floor,Row V,,
Life History Research in Psychology,v1-4,1970-1975,5th Floor,Row O,4,
Life Threatening Behavior,v1-4,1971-1974,5th Floor,Row O,4,
Liga Argentina de Profilaxis Social (Volante),"Vol.11,13-14,16-18",1950-57,2nd Floor,Row V,,
Liga Uruguaya Contra La Tuberculosis,N/A,1950-1957,5th Floor,Row O,4,
Liggaamsop Voeding Physical Education (Pretiria),,1942-1943,2nd Floor,Row V,,
Lighthouse News,"v6,8,11",1946-1951,5th Floor,Row O,4,
Lighthouse News,,"1946,48,51",2nd Floor,Row V,,
Lightning (Chicago),,"1907,1911-1914,1939",2nd Floor,Row V,,
Liguria Medica,,"1924-1941,1948-1949",2nd Floor,Row V,,
Lijecnicki Vjesnik,v72-85,1950-1963,5th Floor,Row O,4,
Lijecnicki Vjesnik,,1950-85,2nd Floor,Row V,,
Likarskii Visnik,,1954-67,2nd Floor,Row V,,
Likarskiy Visnik,v1-46,1954-1967,5th Floor,Row O,4,
Lille Chirurgical,v5-38,1950-1983,5th Floor,Row O,4,
Lille Chirurgical,,1950-83,2nd Floor,Row V,,
Lille Medical,v3-25,1958-1980,5th Floor,Row O,4,
Lilly Scientific Bulletin,Vol.1-10/2S1,1891-1894,2nd Floor,Row V,,
Limousin Medical,,"1926-1928, 1932",2nd Floor,Row V,,
L'Independence Medical,,1957,1st Floor,RowK,,
Lines from Lenox Hill,v1 ,1957,5th Floor,Row O,4,
L'Infirmiere Francaise (Bound),1949-1981,,6th Floor,,,"Opposite side of Rows F & G,near South Wall"
L'Informatore Farmaceutico Italiano,1956,,6th Floor,,,
Lingnan Science Journal,v23 ,1950,5th Floor,Row O,4,
Lingnan Science Journal,Vol.17-20,1950,2nd Floor,Row V,,
"Link(Los Angeles, CA)",Vol.1,,2nd Floor,Row V,,
Link(New York),Vol.1-3,,2nd Floor,Row V,,
Link(Valhalla),Vol.3-5,1997,2nd Floor,Row V,,
Lipids,,1966-97,AR,SHELF RANGE 6 - Side A,,
Lipids,v1-32,1966-1997,5th Floor,Row O,4,
Lisboa Medica,Vol.1-24,,2nd Floor,Row V,,
Listening Post,Vol.1-4,1905-1947,2nd Floor,Row V,,
Lister Institute of Preventive Medicine,N/A,1951,5th Floor,Row O,5,
Lister Institute of Preventive Medicine,,1951,2nd Floor,Row V,,
Lit. and Med.,,1822-1823,AR,SHELF RANGE 6 - Side A,,
L'Italia Sanitaria,,1821,2nd Floor,Row K,,
Literary and Scientific Repository,,1982-2000,2nd Floor,Row V,,
Literature & Medicine,v1-19 ,1982-2000,5th Floor,Row O,5,
Literature and Medicine,v 24-26,2005-2006,5th Floor,Row W,6,Bound Journals moved from floor
Literature Review CIBA,v1-5,1956-1960,5th Floor,Row O,5,
Litterarische Annalen der Gesammten Heilkunde,,,2nd Floor,Row V,,
Litteratur-Auszug aus Reichs-Medicinal-Anzeiger,Vol.24-25,1921,2nd Floor,Row V,,
Little Talks on Oral Hygiene,,1995-1998,2nd Floor,Row V,,
Liver,v1-22,1981-2002,5th Floor,Row O,5,
Liver,,1981-2002,AR,SHELF RANGE 6 - Side A,,
Liver International,,2003-2004,5th Floor,Row W,3,Unbound Journals
Liver International,v23-24,2003-2004,AR,SHELF RANGE 6 - Side A,,
Liverpool and Manchester Medical and Surgical Reports,Vol.4/6,1847,2nd Floor,Row V,,
Liverpool Health of Towns Dovcate,,,2nd Floor,Row V,,
Liverpool Medical and Surgical Reports,Vol.3,,2nd Floor,Row V,,
Liverpool Medico-Chirurgical Journal,Vol.1-5,,2nd Floor,Row V,,
Liverpool Medico-Chirurgical Journal,Vol.1-52,1956-60,2nd Floor,Row V,,
Living Conditions & Health,v1-2,1956-1960,5th Floor,Row O,5,
Living Tissue,v35-39/42-46,1950-1961,5th Floor,Row O,5,
Living Tissue,Vol.6-34    Suppl.,1950-52,2nd Floor,Row V,,
Livro Do….Congresso Brasileiro de Pharmacia,Vol.1,1907-1908+,2nd Floor,Row V,,
Lloyd Brother's Bulletin,,,2nd Floor,Row V,,
Lloydia,v16,1953,5th Floor,Row O,5,
Lloydia,"Vol.2,4,11-12",1953,2nd Floor,Row V,,
LLU Translation Buletin,N/A,1959-1960,5th Floor,Row O,5,
Lobelian and Rhode Island Medical Review,,1896-1911,2nd Floor,Row V,,
L'Obstetrique,,,1st Floor,Row I,,
Lobund Reports,no.3,1966,5th Floor,Row O,5,
Lobund Reports,Vol.1-3,1960,2nd Floor,Row V,,
Local Government Chronicle,,1949-59,2nd Floor,Row V,,
Local Health Units for the Nation,v3-13,1949-1959,5th Floor,Row O,5,
L'Odontologia,,1900,1st Floor,Row I,,
L'Oeuvre Antituberculeuse,,1897-1914,1st Floor,Row I,,
L'Oeuvre Medico-Chirugical,,1931,1st Floor,Row I,,
Log Book,,1958-63,2nd Floor,Row V,,
Logos,v1-6,1958-1963,5th Floor,Row O,5,
Loire Medicale,Vol.1-52/53N1-7,,2nd Floor,Row V,,
London and Edingburg Monthly Journal of Medical Science,Vol.1-4,1960-71,2nd Floor,Row V,,
London Clinic Medical Journal,v1-12,1960-1971,5th Floor,Row O,5,
London Homoeopathic Hospital Reports,Vol.1-4,"1911-1914,1934-1949",2nd Floor,Row V,,
London Hospital Gazette,v53-77,1950-1957,5th Floor,Row O,5,
London Hospital Gazette,,1950-75,2nd Floor,Row V,,
London Hospital Illustrated,v3,1960,5th Floor,Row O,5,
